month,order_count,revenue,revenue_억
2024-03,14864,894292000,8.94
2024-04,8413,503713000,5.04
2024-05,8787,523349000,5.23
2024-06,9193,546321000,5.46
2024-07,12322,746419000,7.46
2024-08,13680,826645000,8.27
2024-09,11713,719748000,7.2
2024-10,12145,736987000,7.37
2024-11,20645,1257220000,12.57
2024-12,18663,1166641000,11.67
2025-01,17622,1060604000,10.61
2025-02,11172,688812000,6.89
2025-03,51853,4374973000,43.75
2025-04,29493,2269061000,22.69
2025-05,30950,2206894000,22.07
2025-06,31637,2284194000,22.84
2025-07,42728,3055114000,30.55
2025-08,48889,3658769000,36.59
2025-09,39795,2909349000,29.09
2025-10,40928,3228810000,32.29
2025-11,70383,5022913000,50.23
2025-12,63091,4639230000,46.39
2026-01,60694,4297868000,42.98
2026-02,37557,3116006000,31.16
2026-03,124910,8615280000,86.15
2026-04,71554,5103692000,51.04
2026-05,76385,5138698000,51.39
2026-06,71884,5163909000,51.64
2026-07,99162,6911189000,69.11
2026-08,56795,4165699000,41.66
