order_id,customer_id,channel_id,store_id,order_date,status,total_amount
ORD-001059659,CUST-000741604,ZIGZAG,,2026-06-30T08:07:00,구매확정,58000
ORD-001092751,CUST-000764852,ZIGZAG,,2026-07-13T10:25:00,구매확정,49000
ORD-000753165,CUST-000497236,ZIGZAG,,2026-03-07T17:54:00,구매확정,39000
ORD-000543296,CUST-000380155,ZIGZAG,,2025-11-29T18:08:00,구매확정,35000
ORD-000689065,CUST-000482213,ZIGZAG,,2026-02-11T16:39:00,구매확정,123000
ORD-000017549,CUST-000012286,ZIGZAG,,2024-04-10T10:38:00,구매확정,49000
ORD-000688205,CUST-000481605,ZIGZAG,,2026-02-11T13:11:00,구매확정,89000
ORD-001014902,CUST-000429924,ZIGZAG,,2026-06-12T20:05:00,구매확정,19000
ORD-000763428,CUST-000534548,ZIGZAG,,2026-03-09T21:24:00,구매확정,84000
ORD-001241282,CUST-000868665,ZIGZAG,,2026-08-16T19:59:00,배송완료,39000
ORD-000783856,CUST-000548697,ZIGZAG,,2026-03-13T15:32:00,구매확정,39000
ORD-000856927,CUST-000296857,ZIGZAG,,2026-04-09T15:14:00,구매확정,39000
ORD-001052040,CUST-000561157,ZIGZAG,,2026-06-27T11:06:00,구매확정,74000
ORD-000038314,CUST-000026820,ZIGZAG,,2024-06-21T17:04:00,구매확정,39000
ORD-000189807,CUST-000132938,ZIGZAG,,2025-03-12T22:01:00,구매확정,128000
ORD-001222723,CUST-000745055,ZIGZAG,,2026-08-09T12:55:00,배송완료,39000
ORD-000175433,CUST-000050578,ZIGZAG,,2025-03-07T16:50:00,구매확정,88000
ORD-001225415,CUST-000822376,ZIGZAG,,2026-08-10T14:54:00,배송완료,78000
ORD-000041239,CUST-000028872,ZIGZAG,,2024-06-30T10:47:00,구매확정,109000
ORD-000518033,CUST-000094376,ZIGZAG,,2025-11-23T11:24:00,구매확정,35000
ORD-001025006,CUST-000553191,ZIGZAG,,2026-06-16T17:33:00,구매확정,49000
ORD-001034259,CUST-000723769,ZIGZAG,,2026-06-20T12:37:00,구매확정,137000
ORD-000068814,CUST-000048142,ZIGZAG,,2024-09-04T19:26:00,구매확정,78000
ORD-000017035,CUST-000011924,ZIGZAG,,2024-04-08T09:27:00,구매확정,137000
ORD-000541738,CUST-000355050,ZIGZAG,,2025-11-29T08:21:00,구매확정,39000
ORD-001075955,CUST-000753004,ZIGZAG,,2026-07-06T18:31:00,구매확정,84000
ORD-000045799,CUST-000006725,ZIGZAG,,2024-07-16T14:14:00,구매확정,49000
ORD-000435246,CUST-000304497,ZIGZAG,,2025-09-30T15:25:00,구매확정,78000
ORD-001226308,CUST-000858322,ZIGZAG,,2026-08-10T19:00:00,배송완료,84000
ORD-000675669,CUST-000472807,ZIGZAG,,2026-02-01T12:40:00,구매확정,173000
ORD-001146182,CUST-000174464,ZIGZAG,,2026-07-28T15:17:00,배송완료,49000
ORD-000698267,CUST-000364048,ZIGZAG,,2026-02-18T17:26:00,구매확정,138000
ORD-000239428,CUST-000167570,ZIGZAG,,2025-04-28T23:26:00,구매확정,49000
ORD-000021003,CUST-000011094,ZIGZAG,,2024-04-22T19:12:00,구매확정,39000
