category_code,popularity_tier,style_name,sku_count,sold_units,avg_per_sku
ACC,STEADY,BAG 액세서리,4,23283,5820.8
ACC,NICHE,BLT 액세서리,4,7141,1785.2
ACC,NICHE,CAP 액세서리,4,6759,1689.8
ACC,NICHE,PCH 액세서리,4,6831,1707.8
ACC,NICHE,SCF 액세서리,4,6976,1744.0
CLR,STEADY,COOL 퍼스널컬러 니트 가디건,9,33226,3691.8
CLR,HERO,COOL 퍼스널컬러 베이직 탑,9,99806,11089.6
CLR,STEADY,MUT 퍼스널컬러 니트 가디건,9,33265,3696.1
CLR,HERO,MUT 퍼스널컬러 베이직 탑,9,100054,11117.1
CLR,STEADY,WRM 퍼스널컬러 니트 가디건,9,33320,3702.2
CLR,HERO,WRM 퍼스널컬러 베이직 탑,9,99969,11107.7
DRS,STEADY,니트 원피스,6,9840,1640.0
DRS,HERO,체형핏 원피스,6,29538,4923.0
OUT,HERO,드롭숄더 아우터,12,175197,14599.8
OUT,STEADY,롱 트렌치코트,12,57988,4832.3
OUT,NICHE,숏패딩,12,17252,1437.7
PNT,HERO,5-Length 슬랙스,40,275648,6891.2
PNT,NICHE,조거 팬츠,24,16831,701.3
PNT,STEADY,테이퍼드 데님,24,56050,2335.4
PNT,STEADY,핀턱 와이드,24,54939,2289.1
TOP,STEADY,브이넥 니트,32,80324,2510.1
TOP,HERO,스퀘어라인 기본티,56,420596,7510.6
TOP,NICHE,오버사이즈 맨투맨,32,24123,753.8
TOP,NICHE,집업 후드,32,24254,757.9
TOP,STEADY,포켓 셔츠,32,79988,2499.6
