return_id,order_id,sku_code,reason_code,status,request_date,resolution
RET-000113943,ORD-000501352,NQ-PNT-001-XL-BLK,R03,완료,2025-11-30,환불
RET-000086281,ORD-000380227,NQ-OUT-001-M-GRY,R01,완료,2025-09-01,교환
RET-000025359,ORD-000116255,NQ-PNT-002-XL-BLK,R02,완료,2024-12-23,교환
RET-000180903,ORD-000792625,NQ-CLR-COOL-002-S-IVR,R04,완료,2026-03-27,교환
RET-000062806,ORD-000277773,NQ-PNT-003-M-GRY,R01,완료,2025-06-14,교환
RET-000006980,ORD-000032235,NQ-CLR-COOL-002-S-CRM,R01,완료,2024-06-13,환불
RET-000255662,ORD-001127665,NQ-DRS-001-L-BLK,R02,검수중,2026-08-19,
RET-000071828,ORD-000317459,NQ-TOP-001-S-BLK,R02,완료,2025-08-01,교환
RET-000019621,ORD-000089979,NQ-TOP-003-M-GRY,R04,완료,2024-11-08,환불
RET-000132484,ORD-000579285,NQ-PNT-001-2XL-NVY,R02,완료,2026-01-09,교환
RET-000247280,ORD-001090414,NQ-TOP-001-L-BLK,R02,완료,2026-07-23,교환
RET-000048468,ORD-000214921,NQ-PNT-004-4XL-GRY,R01,완료,2025-04-28,환불
RET-000091105,ORD-000401631,TRD-OUT-02-STR-001-M-BRN,R01,완료,2025-09-28,환불
RET-000178595,ORD-000782170,NQ-OUT-001-S-NVY,R03,완료,2026-03-27,환불
RET-000269410,ORD-001216430,NQ-TOP-001-S-LYL,R01,검수중,2026-08-19,
RET-000137128,ORD-000598844,NQ-OUT-001-L-GRY,R03,완료,2026-01-11,환불
RET-000198681,ORD-000870424,NQ-TOP-001-2XL-WHT,R03,완료,2026-04-24,환불
RET-000264624,ORD-001174702,NQ-TOP-001-L-SKB,R02,완료,2026-08-09,환불
RET-000062552,ORD-000276483,NQ-TOP-001-M-WHT,R01,완료,2025-06-15,교환
RET-000023951,ORD-000109897,NQ-PNT-004-S-BEG,R02,완료,2024-12-12,교환
RET-000038854,ORD-000174046,NQ-PNT-001-L-KHK,R03,완료,2025-03-24,환불
RET-000232719,ORD-001022976,NQ-TOP-003-L-BLK,R01,완료,2026-06-27,교환
RET-000104482,ORD-000459756,TRD-TOP-01-STR-001-S-IVR,R01,완료,2025-11-06,교환
RET-000016468,ORD-000075382,NQ-PNT-001-XL-BLK,R01,완료,2024-10-01,교환
RET-000010250,ORD-000047252,NQ-PNT-004-S-GRY,R03,완료,2024-08-03,환불
RET-000090607,ORD-000399386,NQ-TOP-003-S-WHT,R01,완료,2025-09-21,교환
RET-000077708,ORD-000344353,NQ-OUT-001-M-BLK,R01,완료,2025-08-11,교환
RET-000256357,ORD-001130677,NQ-TOP-001-L-LYL,R02,완료,2026-08-15,환불
RET-000083360,ORD-000368580,NQ-TOP-003-S-BLK,R01,완료,2025-08-15,교환
RET-000082980,ORD-000367205,NQ-PNT-002-3XL-BLK,R02,완료,2025-09-01,교환
RET-000040150,ORD-000179419,NQ-TOP-001-3XL-WHT,R03,완료,2025-03-29,교환
RET-000151902,ORD-000664820,NQ-TOP-001-XL-BLK,R03,완료,2026-02-02,환불
RET-000039061,ORD-000174921,NQ-PNT-001-XL-GRY,R04,완료,2025-03-22,교환
RET-000158283,ORD-000690229,NQ-TOP-002-L-BLK,R03,완료,2026-03-06,교환
RET-000108514,ORD-000476964,NQ-PNT-004-XL-BEG,R05,완료,2025-11-24,교환
RET-000197037,ORD-000863261,NQ-TOP-001-M-NVY,R03,완료,2026-04-24,교환
RET-000163491,ORD-000713675,NQ-PNT-001-3XL-BLK,R03,완료,2026-03-06,교환
RET-000232681,ORD-001022798,NQ-PNT-003-M-BLK,R01,완료,2026-06-30,환불
RET-000123792,ORD-000543541,NQ-PNT-002-4XL-BEG,R05,완료,2025-12-20,교환
RET-000206296,ORD-000905663,NQ-TOP-002-M-BLK,R01,완료,2026-05-15,교환
RET-000188853,ORD-000828032,NQ-PNT-001-3XL-BEG,R01,완료,2026-04-07,교환
RET-000083790,ORD-000370186,NQ-TOP-003-S-GRY,R03,완료,2025-08-14,환불
RET-000212037,ORD-000931379,NQ-OUT-003-M-GRY,R02,완료,2026-05-16,교환
RET-000211991,ORD-000931168,NQ-TOP-001-S-SKB,R03,완료,2026-06-02,환불
RET-000104565,ORD-000460066,NQ-CLR-WRM-004-S-CRM,R05,완료,2025-10-25,교환
RET-000028841,ORD-000130451,NQ-PNT-001-M-NVY,R02,완료,2025-01-07,환불
RET-000074431,ORD-000329558,NQ-TOP-001-S-BLK,R01,완료,2025-08-07,교환
RET-000256815,ORD-001132749,NQ-OUT-001-S-BEG,R01,완료,2026-08-06,교환
RET-000248188,ORD-001094446,NQ-OUT-001-L-GRY,R02,완료,2026-07-31,환불
RET-000041076,ORD-000183221,NQ-PNT-001-2XL-BEG,R02,완료,2025-04-01,환불
RET-000138651,ORD-000606059,NQ-TOP-001-S-NVY,R01,완료,2026-01-18,교환
RET-000232595,ORD-001022431,NQ-TOP-002-L-NVY,R03,완료,2026-07-01,교환
RET-000003274,ORD-000015196,NQ-TOP-001-XL-NVY,R04,완료,2024-04-15,환불
RET-000117841,ORD-000517862,NQ-PNT-001-M-BLK,R04,완료,2025-12-09,환불
RET-000126436,ORD-000554945,NQ-TOP-001-M-WHT,R02,완료,2025-12-14,교환
RET-000108491,ORD-000476899,NQ-CLR-MUT-003-M-CRM,R02,완료,2025-11-24,교환
RET-000125974,ORD-000553037,NQ-TOP-001-S-SKB,R03,완료,2025-12-28,교환
RET-000075151,ORD-000332866,NQ-PNT-002-S-BLK,R01,완료,2025-08-16,교환
RET-000247738,ORD-001092683,NQ-PNT-001-L-NVY,R01,완료,2026-07-28,교환
RET-000068235,ORD-000301247,NQ-TOP-001-L-ORC,R01,완료,2025-07-20,교환
RET-000070785,ORD-000312473,NQ-TOP-001-XS-SKB,R01,완료,2025-07-31,환불
RET-000005421,ORD-000025121,NQ-PNT-003-S-BEG,R01,완료,2024-05-24,환불
RET-000022438,ORD-000102603,NQ-PNT-003-3XL-BEG,R03,완료,2024-12-07,교환
RET-000131865,ORD-000576759,NQ-PNT-001-2XL-NVY,R03,완료,2025-12-31,교환
RET-000126248,ORD-000554211,NQ-TOP-001-3XL-LYL,R04,완료,2025-12-12,교환
RET-000074534,ORD-000329985,NQ-PNT-001-4XL-BEG,R03,완료,2025-08-01,환불
RET-000219572,ORD-000964736,NQ-TOP-002-3XL-NVY,R02,완료,2026-06-13,환불
RET-000249168,ORD-001098717,NQ-PNT-001-4XL-BEG,R03,완료,2026-07-24,교환
RET-000041142,ORD-000183531,TRD-OUT-01-WAV-002-M-BLK,R01,완료,2025-03-30,환불
RET-000118799,ORD-000522249,NQ-OUT-002-M-BLK,R01,완료,2025-11-30,교환
RET-000227008,ORD-000998399,NQ-OUT-001-S-NVY,R01,완료,2026-06-28,환불
RET-000267637,ORD-001196657,NQ-TOP-002-S-NVY,R05,완료,2026-08-12,교환
RET-000071111,ORD-000313987,NQ-TOP-004-S-WHT,R04,완료,2025-07-21,환불
RET-000096071,ORD-000424064,NQ-OUT-001-M-NVY,R01,완료,2025-10-04,교환
RET-000054379,ORD-000240028,NQ-OUT-001-L-BEG,R01,완료,2025-05-24,환불
RET-000140523,ORD-000614768,NQ-PNT-003-3XL-GRY,R01,완료,2026-01-15,교환
RET-000131836,ORD-000576640,NQ-TOP-004-M-BLK,R01,완료,2026-01-02,환불
RET-000209306,ORD-000919263,NQ-TOP-003-L-GRY,R04,완료,2026-05-27,교환
RET-000016726,ORD-000076544,NQ-CLR-WRM-001-M-CRM,R04,완료,2024-10-14,교환
RET-000029778,ORD-000134452,NQ-PNT-003-2XL-BLK,R01,완료,2025-01-14,환불
RET-000037336,ORD-000167950,NQ-CLR-WRM-001-M-ASH,R03,완료,2025-03-09,교환
RET-000227142,ORD-000998920,NQ-TOP-001-2XL-ORC,R02,완료,2026-06-19,환불
RET-000018210,ORD-000083638,NQ-PNT-001-XL-BEG,R01,완료,2024-11-02,교환
RET-000136208,ORD-000594897,NQ-PNT-001-S-BLK,R02,완료,2026-01-08,환불
RET-000003462,ORD-000016089,NQ-TOP-001-M-BLK,R01,완료,2024-04-20,교환
RET-000142856,ORD-000626175,NQ-TOP-001-XL-LYL,R01,완료,2026-01-20,환불
RET-000206063,ORD-000904560,NQ-CLR-MUT-006-M-IVR,R01,완료,2026-05-11,교환
RET-000255889,ORD-001128711,NQ-PNT-001-XL-KHK,R01,완료,2026-08-02,교환
