sku_code,product_id,size,color_code,price,cost
NQ-TOP-001-XS-BLK,NQ-TOP-001,XS,BLK,39000,18720
NQ-TOP-001-XS-WHT,NQ-TOP-001,XS,WHT,39000,18720
NQ-TOP-001-XS-GRY,NQ-TOP-001,XS,GRY,39000,18720
NQ-TOP-001-XS-NVY,NQ-TOP-001,XS,NVY,39000,18720
NQ-TOP-001-XS-ORC,NQ-TOP-001,XS,ORC,39000,18720
NQ-TOP-001-XS-SKB,NQ-TOP-001,XS,SKB,39000,18720
NQ-TOP-001-XS-LYL,NQ-TOP-001,XS,LYL,39000,18720
NQ-TOP-001-S-BLK,NQ-TOP-001,S,BLK,39000,18720
NQ-TOP-001-S-WHT,NQ-TOP-001,S,WHT,39000,18720
NQ-TOP-001-S-GRY,NQ-TOP-001,S,GRY,39000,18720
NQ-TOP-001-S-NVY,NQ-TOP-001,S,NVY,39000,18720
NQ-TOP-001-S-ORC,NQ-TOP-001,S,ORC,39000,18720
NQ-TOP-001-S-SKB,NQ-TOP-001,S,SKB,39000,18720
NQ-TOP-001-S-LYL,NQ-TOP-001,S,LYL,39000,18720
NQ-TOP-001-M-BLK,NQ-TOP-001,M,BLK,39000,18720
NQ-TOP-001-M-WHT,NQ-TOP-001,M,WHT,39000,18720
NQ-TOP-001-M-GRY,NQ-TOP-001,M,GRY,39000,18720
NQ-TOP-001-M-NVY,NQ-TOP-001,M,NVY,39000,18720
NQ-TOP-001-M-ORC,NQ-TOP-001,M,ORC,39000,18720
NQ-TOP-001-M-SKB,NQ-TOP-001,M,SKB,39000,18720
NQ-TOP-001-M-LYL,NQ-TOP-001,M,LYL,39000,18720
NQ-TOP-001-L-BLK,NQ-TOP-001,L,BLK,39000,18720
NQ-TOP-001-L-WHT,NQ-TOP-001,L,WHT,39000,18720
NQ-TOP-001-L-GRY,NQ-TOP-001,L,GRY,39000,18720
NQ-TOP-001-L-NVY,NQ-TOP-001,L,NVY,39000,18720
NQ-TOP-001-L-ORC,NQ-TOP-001,L,ORC,39000,18720
NQ-TOP-001-L-SKB,NQ-TOP-001,L,SKB,39000,18720
NQ-TOP-001-L-LYL,NQ-TOP-001,L,LYL,39000,18720
NQ-TOP-001-XL-BLK,NQ-TOP-001,XL,BLK,39000,18720
NQ-TOP-001-XL-WHT,NQ-TOP-001,XL,WHT,39000,18720
NQ-TOP-001-XL-GRY,NQ-TOP-001,XL,GRY,39000,18720
NQ-TOP-001-XL-NVY,NQ-TOP-001,XL,NVY,39000,18720
NQ-TOP-001-XL-ORC,NQ-TOP-001,XL,ORC,39000,18720
NQ-TOP-001-XL-SKB,NQ-TOP-001,XL,SKB,39000,18720
NQ-TOP-001-XL-LYL,NQ-TOP-001,XL,LYL,39000,18720
NQ-TOP-001-2XL-BLK,NQ-TOP-001,2XL,BLK,39000,18720
NQ-TOP-001-2XL-WHT,NQ-TOP-001,2XL,WHT,39000,18720
NQ-TOP-001-2XL-GRY,NQ-TOP-001,2XL,GRY,39000,18720
NQ-TOP-001-2XL-NVY,NQ-TOP-001,2XL,NVY,39000,18720
NQ-TOP-001-2XL-ORC,NQ-TOP-001,2XL,ORC,39000,18720
NQ-TOP-001-2XL-SKB,NQ-TOP-001,2XL,SKB,39000,18720
NQ-TOP-001-2XL-LYL,NQ-TOP-001,2XL,LYL,39000,18720
NQ-TOP-001-3XL-BLK,NQ-TOP-001,3XL,BLK,39000,18720
NQ-TOP-001-3XL-WHT,NQ-TOP-001,3XL,WHT,39000,18720
NQ-TOP-001-3XL-GRY,NQ-TOP-001,3XL,GRY,39000,18720
NQ-TOP-001-3XL-NVY,NQ-TOP-001,3XL,NVY,39000,18720
NQ-TOP-001-3XL-ORC,NQ-TOP-001,3XL,ORC,39000,18720
NQ-TOP-001-3XL-SKB,NQ-TOP-001,3XL,SKB,39000,18720
NQ-TOP-001-3XL-LYL,NQ-TOP-001,3XL,LYL,39000,18720
NQ-TOP-001-4XL-BLK,NQ-TOP-001,4XL,BLK,39000,18720
NQ-TOP-001-4XL-WHT,NQ-TOP-001,4XL,WHT,39000,18720
NQ-TOP-001-4XL-GRY,NQ-TOP-001,4XL,GRY,39000,18720
NQ-TOP-001-4XL-NVY,NQ-TOP-001,4XL,NVY,39000,18720
NQ-TOP-001-4XL-ORC,NQ-TOP-001,4XL,ORC,39000,18720
NQ-TOP-001-4XL-SKB,NQ-TOP-001,4XL,SKB,39000,18720
NQ-TOP-001-4XL-LYL,NQ-TOP-001,4XL,LYL,39000,18720
NQ-TOP-002-XS-BLK,NQ-TOP-002,XS,BLK,39000,18720
NQ-TOP-002-XS-WHT,NQ-TOP-002,XS,WHT,39000,18720
NQ-TOP-002-XS-GRY,NQ-TOP-002,XS,GRY,39000,18720
NQ-TOP-002-XS-NVY,NQ-TOP-002,XS,NVY,39000,18720
NQ-TOP-002-S-BLK,NQ-TOP-002,S,BLK,39000,18720
NQ-TOP-002-S-WHT,NQ-TOP-002,S,WHT,39000,18720
NQ-TOP-002-S-GRY,NQ-TOP-002,S,GRY,39000,18720
NQ-TOP-002-S-NVY,NQ-TOP-002,S,NVY,39000,18720
NQ-TOP-002-M-BLK,NQ-TOP-002,M,BLK,39000,18720
NQ-TOP-002-M-WHT,NQ-TOP-002,M,WHT,39000,18720
NQ-TOP-002-M-GRY,NQ-TOP-002,M,GRY,39000,18720
