customer_id,persona_segment,signup_channel,signup_date
CUST-000000144,Primary(18-24),ZIGZAG,2024-03-01
CUST-000000223,Primary(18-24),ZIGZAG,2024-03-01
CUST-000000386,Primary(18-24),ZIGZAG,2024-03-01
CUST-000000493,Primary(18-24),ZIGZAG,2024-03-02
CUST-000000551,Secondary(25-28),ZIGZAG,2024-03-02
CUST-000000748,Primary(18-24),ZIGZAG,2024-03-02
CUST-000000786,Primary(18-24),ZIGZAG,2024-03-02
CUST-000001121,Primary(18-24),ZIGZAG,2024-03-03
CUST-000001552,Secondary(25-28),ZIGZAG,2024-03-03
CUST-000001775,Primary(18-24),ZIGZAG,2024-03-04
CUST-000002216,Secondary(25-28),ZIGZAG,2024-03-05
CUST-000002486,Primary(18-24),ZIGZAG,2024-03-05
CUST-000002724,Primary(18-24),ZIGZAG,2024-03-06
CUST-000002729,Secondary(25-28),ZIGZAG,2024-03-06
CUST-000002730,Primary(18-24),ZIGZAG,2024-03-06
CUST-000002862,Primary(18-24),ZIGZAG,2024-03-06
CUST-000002904,Primary(18-24),ZIGZAG,2024-03-06
CUST-000003312,Primary(18-24),ZIGZAG,2024-03-07
CUST-000003554,Secondary(25-28),ZIGZAG,2024-03-08
CUST-000003582,Secondary(25-28),ZIGZAG,2024-03-08
CUST-000003741,Primary(18-24),ZIGZAG,2024-03-08
CUST-000003922,Primary(18-24),ZIGZAG,2024-03-09
CUST-000003996,Primary(18-24),ZIGZAG,2024-03-09
CUST-000004284,Primary(18-24),ZIGZAG,2024-03-09
CUST-000004293,Secondary(25-28),ZIGZAG,2024-03-09
CUST-000004533,Primary(18-24),ZIGZAG,2024-03-10
CUST-000004795,Secondary(25-28),ZIGZAG,2024-03-10
CUST-000004877,Primary(18-24),ZIGZAG,2024-03-10
CUST-000004914,Primary(18-24),ZIGZAG,2024-03-10
CUST-000004925,Primary(18-24),ZIGZAG,2024-03-10
CUST-000005714,Primary(18-24),ZIGZAG,2024-03-12
CUST-000006062,Primary(18-24),ZIGZAG,2024-03-13
CUST-000006133,Secondary(25-28),ZIGZAG,2024-03-13
CUST-000006270,Secondary(25-28),ZIGZAG,2024-03-13
CUST-000006616,Primary(18-24),ZIGZAG,2024-03-14
CUST-000006651,Primary(18-24),ZIGZAG,2024-03-14
CUST-000006961,Primary(18-24),ZIGZAG,2024-03-15
CUST-000007075,Primary(18-24),ZIGZAG,2024-03-15
CUST-000007088,Primary(18-24),ZIGZAG,2024-03-15
CUST-000007239,Secondary(25-28),ZIGZAG,2024-03-16
CUST-000007658,Secondary(25-28),ZIGZAG,2024-03-18
CUST-000007787,Primary(18-24),ZIGZAG,2024-03-19
CUST-000007987,Secondary(25-28),ZIGZAG,2024-03-20
CUST-000008177,Primary(18-24),ZIGZAG,2024-03-21
CUST-000008218,Primary(18-24),ZIGZAG,2024-03-21
CUST-000008270,Primary(18-24),ZIGZAG,2024-03-22
CUST-000008280,Primary(18-24),ZIGZAG,2024-03-22
CUST-000008447,Primary(18-24),ZIGZAG,2024-03-23
CUST-000008915,Primary(18-24),ZIGZAG,2024-03-24
CUST-000009003,Primary(18-24),ZIGZAG,2024-03-25
CUST-000009316,Secondary(25-28),ZIGZAG,2024-03-26
CUST-000009334,Primary(18-24),ZIGZAG,2024-03-26
CUST-000009628,Primary(18-24),ZIGZAG,2024-03-28
CUST-000009866,Secondary(25-28),ZIGZAG,2024-03-29
CUST-000009914,Primary(18-24),ZIGZAG,2024-03-30
CUST-000010463,Primary(18-24),ZIGZAG,2024-04-01
CUST-000010610,Primary(18-24),ZIGZAG,2024-04-02
CUST-000010645,Secondary(25-28),ZIGZAG,2024-04-02
