sku_code,available_qty,reserved_qty,defective_qty,pending_return_qty,safety_stock,reorder_point,last_updated
NQ-TOP-001-XS-BLK,2480,0,0,8,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,2544,0,0,4,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,2455,0,0,8,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,2539,0,0,8,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,2569,0,0,10,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,2540,0,0,8,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,2413,0,0,7,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,2728,0,0,24,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,2346,0,0,29,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,2890,0,0,21,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,1255,0,0,20,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-ORC,1097,0,0,26,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-SKB,2423,0,0,23,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-LYL,1238,0,0,20,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-BLK,1640,0,0,18,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-WHT,3290,0,0,10,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-GRY,1760,0,0,23,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-NVY,1668,0,0,18,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-ORC,3547,0,0,23,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-SKB,1728,0,0,30,720,1440,2026-08-20T00:00:00
NQ-TOP-001-M-LYL,3471,0,0,12,720,1440,2026-08-20T00:00:00
NQ-TOP-001-L-BLK,1674,0,0,22,720,1440,2026-08-20T00:00:00
