ledger_id,sku_code,movement_type,qty_change,reference_id,movement_date
LED-000386190,NQ-PNT-001-XL-KHK,판매출고,-1,ORD-000223858,2025-04-13T14:56:00
LED-000679888,NQ-CLR-COOL-005-M-IVR,판매출고,-1,ORD-000394505,2025-08-30T11:05:00
LED-001699984,NQ-TOP-001-2XL-WHT,판매출고,-1,ORD-000991541,2026-06-03T10:30:00
LED-001116287,NQ-TOP-001-S-LYL,판매출고,-1,ORD-000650549,2026-01-15T08:54:00
LED-000636979,NQ-OUT-001-M-BEG,판매출고,-1,ORD-000369958,2025-08-09T23:53:00
LED-000292390,NQ-OUT-001-L-BLK,판매출고,-1,ORD-000169912,2025-03-04T17:54:00
LED-001609325,NQ-OUT-001-M-GRY,판매출고,-1,ORD-000938431,2026-05-12T14:00:00
LED-000803571,NQ-TOP-001-XS-ORC,판매출고,-1,ORD-000466109,2025-10-23T14:27:00
LED-000638590,NQ-TOP-001-3XL-ORC,판매출고,-1,ORD-000370919,2025-08-10T16:54:00
LED-001146045,NQ-TOP-004-XL-NVY,판매출고,-1,ORD-000667944,2026-01-27T08:15:00
LED-000989796,NQ-PNT-001-M-NVY,판매출고,-1,ORD-000575297,2025-12-18T17:57:00
LED-000771748,TRD-OUT-02-WAV-002-M-GRN,판매출고,-1,ORD-000447661,2025-10-09T22:12:00
LED-000949436,NQ-OUT-001-M-GRY,판매출고,-1,ORD-000552243,2025-12-03T21:15:00
LED-000623712,NQ-TOP-001-3XL-LYL,판매출고,-1,ORD-000361979,2025-08-06T11:00:00
LED-000849484,NQ-CLR-MUT-006-M-CRM,반품입고,1,ORD-000492804,2025-11-30T00:00:00
LED-000839584,NQ-OUT-001-S-GRY,판매출고,-1,ORD-000487005,2025-11-08T13:52:00
LED-000971910,NQ-TOP-003-M-WHT,판매출고,-1,ORD-000565073,2025-12-13T22:27:00
LED-000646958,NQ-OUT-001-L-NVY,반품입고,1,ORD-000375736,2025-09-01T00:00:00
LED-001009417,NQ-CLR-COOL-005-M-CRM,판매출고,-1,ORD-000586853,2025-12-22T22:28:00
LED-000219316,NQ-TOP-001-L-BLK,판매출고,-1,ORD-000127150,2024-12-27T21:48:00
LED-002000852,NQ-TOP-002-L-BLK,판매출고,-1,ORD-001169072,2026-08-01T22:19:00
LED-000863655,NQ-PNT-001-M-BEG,판매출고,-1,ORD-000501186,2025-11-18T10:25:00
LED-000990854,NQ-TOP-001-2XL-LYL,판매출고,-1,ORD-000575896,2025-12-18T20:22:00
LED-001330416,NQ-PNT-001-L-BLK,판매출고,-1,ORD-000774984,2026-03-11T11:28:00
LED-000563143,NQ-CLR-COOL-002-M-CRM,판매출고,-1,ORD-000326660,2025-07-22T14:56:00
LED-000159928,NQ-TOP-001-L-LYL,판매출고,-1,ORD-000092468,2024-11-03T15:54:00
LED-001418649,NQ-ACC-BAG-001-FREE-WHT,반품입고,1,ORD-000827149,2026-04-10T00:00:00
LED-001958577,NQ-TOP-003-S-GRY,판매출고,-1,ORD-001142841,2026-07-28T16:39:00
LED-001596882,NQ-CLR-MUT-003-S-IVR,판매출고,-1,ORD-000931117,2026-05-09T13:34:00
LED-001885269,NQ-CLR-COOL-002-S-ASH,판매출고,-1,ORD-001099408,2026-07-16T10:24:00
LED-001678605,NQ-OUT-001-S-BEG,판매출고,-1,ORD-000978894,2026-05-29T14:12:00
LED-001645177,NQ-TOP-001-S-NVY,판매출고,-1,ORD-000959301,2026-05-21T22:44:00
LED-000557572,NQ-PNT-003-3XL-BLK,판매출고,-1,ORD-000323421,2025-07-19T13:31:00
LED-001862718,NQ-CLR-MUT-003-L-IVR,판매출고,-1,ORD-001086330,2026-07-11T15:06:00
LED-001482400,NQ-TOP-001-2XL-NVY,판매출고,-1,ORD-000864351,2026-04-11T23:17:00
LED-001468194,NQ-TOP-004-M-BLK,반품입고,1,ORD-000856123,2026-04-19T00:00:00
LED-001812262,NQ-OUT-001-S-GRY,판매출고,-1,ORD-001056916,2026-06-29T22:45:00
LED-001228767,NQ-PNT-001-L-BLK,반품입고,1,ORD-000715362,2026-03-15T00:00:00
LED-000941794,NQ-PNT-001-3XL-BEG,판매출고,-1,ORD-000547754,2025-11-30T10:03:00
LED-000712465,NQ-PNT-001-3XL-KHK,판매출고,-1,ORD-000413318,2025-09-13T16:29:00
LED-001516433,NQ-TOP-001-S-WHT,판매출고,-1,ORD-000884015,2026-04-19T23:43:00
LED-001620390,NQ-OUT-002-L-GRY,판매출고,-1,ORD-000944834,2026-05-15T13:50:00
LED-000920977,NQ-TOP-003-XL-NVY,판매출고,-1,ORD-000535097,2025-11-28T23:44:00
LED-001166492,NQ-CLR-WRM-004-L-IVR,판매출고,-1,ORD-000679567,2026-02-04T10:32:00
LED-002028021,NQ-OUT-001-S-BEG,판매출고,-1,ORD-001186213,2026-08-04T20:21:00
LED-000847292,NQ-PNT-001-L-NVY,판매출고,-1,ORD-000491526,2025-11-11T10:15:00
LED-001965002,NQ-PNT-001-XL-BLK,판매출고,-1,ORD-001146966,2026-07-29T10:39:00
LED-000318643,NQ-OUT-001-M-GRY,판매출고,-1,ORD-000184943,2025-03-10T22:48:00
