order_id,customer_id,channel_id,store_id,order_date,status,total_amount
ORD-000636427,CUST-000445309,ZIGZAG,,2026-01-10T12:26:00,구매확정,35000
ORD-000273288,CUST-000136518,ZIGZAG,,2025-06-01T14:14:00,구매확정,49000
ORD-000423126,CUST-000296025,ZIGZAG,,2025-09-21T13:21:00,구매확정,49000
ORD-000207534,CUST-000145287,ZIGZAG,,2025-03-27T12:02:00,구매확정,89000
ORD-000263135,CUST-000184168,ZIGZAG,,2025-05-22T19:36:00,구매확정,39000
ORD-000761448,CUST-000533165,ZIGZAG,,2026-03-08T16:11:00,구매확정,59000
ORD-000936784,CUST-000655467,ZIGZAG,,2026-05-11T23:00:00,구매확정,113000
ORD-000928513,CUST-000649719,ZIGZAG,,2026-05-08T18:54:00,구매확정,39000
ORD-000197494,CUST-000138286,ZIGZAG,,2025-03-17T23:26:00,구매확정,84000
ORD-000043004,CUST-000030086,ZIGZAG,,2024-07-07T17:37:00,구매확정,78000
ORD-000630700,CUST-000441270,ZIGZAG,,2026-01-07T12:23:00,구매확정,35000
ORD-001001088,CUST-000700542,ZIGZAG,,2026-06-07T21:00:00,구매확정,39000
ORD-000431171,CUST-000195516,ZIGZAG,,2025-09-27T12:30:00,구매확정,39000
ORD-000763615,CUST-000308881,ZIGZAG,,2026-03-09T18:42:00,구매확정,35000
ORD-000624809,CUST-000369209,ZIGZAG,,2026-01-05T15:21:00,구매확정,88000
ORD-000724339,CUST-000507027,ZIGZAG,,2026-03-02T08:09:00,구매확정,19000
ORD-001123852,CUST-000642592,ZIGZAG,,2026-07-25T09:32:00,배송완료,35000
ORD-000409474,CUST-000286479,ZIGZAG,,2025-09-11T08:56:00,구매확정,88000
ORD-000910000,CUST-000636829,ZIGZAG,,2026-04-30T09:05:00,구매확정,49000
ORD-001043800,CUST-000730419,ZIGZAG,,2026-06-24T18:54:00,구매확정,128000
ORD-000698430,CUST-000474886,ZIGZAG,,2026-02-18T10:35:00,구매확정,128000
ORD-000008970,CUST-000004914,ZIGZAG,,2024-03-13T17:20:00,구매확정,39000
ORD-000708798,CUST-000496032,ZIGZAG,,2026-02-26T18:09:00,구매확정,39000
ORD-000703026,CUST-000491988,ZIGZAG,,2026-02-22T12:03:00,구매확정,163000
ORD-000366344,CUST-000256320,ZIGZAG,,2025-08-08T13:04:00,구매확정,39000
ORD-000452398,CUST-000316479,ZIGZAG,,2025-10-12T20:47:00,구매확정,49000
ORD-000062327,CUST-000004925,ZIGZAG,,2024-08-15T09:44:00,구매확정,74000
ORD-000364275,CUST-000254885,ZIGZAG,,2025-08-07T09:52:00,구매확정,39000
ORD-001048068,CUST-000733426,ZIGZAG,,2026-06-26T08:33:00,구매확정,124000
ORD-000318186,CUST-000150520,ZIGZAG,,2025-07-14T21:11:00,구매확정,98000
ORD-001041973,CUST-000729143,ZIGZAG,,2026-06-23T22:29:00,구매확정,89000
ORD-000454867,CUST-000318195,ZIGZAG,,2025-10-14T19:03:00,구매확정,114000
ORD-000167268,CUST-000117095,ZIGZAG,,2025-03-03T10:29:00,구매확정,178000
ORD-001097637,CUST-000768259,ZIGZAG,,2026-07-15T09:23:00,구매확정,39000
ORD-000876463,CUST-000250485,ZIGZAG,,2026-04-17T09:13:00,구매확정,58000
ORD-000759735,CUST-000354685,ZIGZAG,,2026-03-08T23:12:00,구매확정,197000
ORD-000199388,CUST-000139584,ZIGZAG,,2025-03-19T21:01:00,구매확정,49000
ORD-000997172,CUST-000408515,ZIGZAG,,2026-06-05T12:59:00,구매확정,128000
ORD-001189762,CUST-000832741,ZIGZAG,,2026-08-04T12:13:00,배송완료,88000
ORD-000293371,CUST-000176122,ZIGZAG,,2025-06-21T21:55:00,구매확정,49000
ORD-000781874,CUST-000547304,ZIGZAG,,2026-03-12T23:24:00,구매확정,19000
ORD-000533306,CUST-000373153,ZIGZAG,,2025-11-27T20:09:00,구매확정,35000
ORD-000292093,CUST-000083336,ZIGZAG,,2025-06-19T23:52:00,구매확정,117000
ORD-000680705,CUST-000476336,ZIGZAG,,2026-02-05T16:08:00,구매확정,49000
ORD-000276749,CUST-000161405,ZIGZAG,,2025-06-05T19:18:00,구매확정,84000
ORD-001150137,CUST-000427047,ZIGZAG,,2026-07-29T17:52:00,배송완료,128000
ORD-000083112,CUST-000058187,ZIGZAG,,2024-10-11T09:37:00,구매확정,39000
ORD-000829254,CUST-000580375,ZIGZAG,,2026-03-28T20:25:00,구매확정,148000
ORD-000215871,CUST-000145047,ZIGZAG,,2025-04-05T10:34:00,구매확정,74000
ORD-000629284,CUST-000261080,ZIGZAG,,2026-01-07T20:33:00,구매확정,84000
ORD-000014186,CUST-000009914,ZIGZAG,,2024-03-30T14:10:00,구매확정,35000
ORD-000914174,CUST-000639751,ZIGZAG,,2026-05-02T13:18:00,구매확정,49000
ORD-001008436,CUST-000705714,ZIGZAG,,2026-06-09T22:42:00,구매확정,59000
ORD-000441524,CUST-000308874,ZIGZAG,,2025-10-04T20:11:00,구매확정,49000
ORD-000546441,CUST-000382360,ZIGZAG,,2025-11-30T11:51:00,구매확정,128000
ORD-000182966,CUST-000050178,ZIGZAG,,2025-03-09T12:56:00,구매확정,35000
ORD-000701398,CUST-000490849,ZIGZAG,,2026-02-21T12:28:00,구매확정,89000
ORD-001081865,CUST-000757166,ZIGZAG,,2026-07-09T17:35:00,구매확정,137000
ORD-000898086,CUST-000628522,OFFLINE,STORE-02,2026-04-25T17:06:00,구매확정,39000
ORD-000246788,CUST-000172719,ZIGZAG,,2025-05-06T22:27:00,구매확정,89000
ORD-000994537,CUST-000695998,ZIGZAG,,2026-06-04T08:03:00,구매확정,127000
ORD-001041185,CUST-000728589,ZIGZAG,,2026-06-22T13:24:00,구매확정,68000
ORD-000326574,CUST-000228542,ZIGZAG,,2025-07-22T14:20:00,구매확정,138000
ORD-000750029,CUST-000525055,ZIGZAG,,2026-03-07T14:24:00,구매확정,69000
ORD-000556058,CUST-000013346,ZIGZAG,,2025-12-06T16:10:00,구매확정,128000
ORD-000459757,CUST-000321568,ZIGZAG,,2025-10-18T18:05:00,구매확정,168000
ORD-000622388,CUST-000435448,ZIGZAG,,2026-01-04T18:05:00,구매확정,49000
ORD-001042336,CUST-000729401,ZIGZAG,,2026-06-23T12:03:00,구매확정,49000
ORD-000915500,CUST-000214234,ZIGZAG,,2026-05-03T21:26:00,구매확정,35000
ORD-000842107,CUST-000589383,ZIGZAG,,2026-04-03T11:38:00,구매확정,39000
ORD-001055890,CUST-000146847,ZIGZAG,,2026-06-28T13:55:00,구매확정,89000
ORD-000925255,CUST-000647452,ZIGZAG,,2026-05-07T23:39:00,구매확정,98000
ORD-000177631,CUST-000124403,ZIGZAG,,2025-03-08T18:42:00,구매확정,163000
ORD-000639562,CUST-000401564,ZIGZAG,,2026-01-10T16:43:00,구매확정,35000
