po_id,sku_code,qty,unit_cost
PO-INIT-000000001,NQ-TOP-001-XS-BLK,576,18720
PO-INIT-000000002,NQ-TOP-001-XS-WHT,576,18720
PO-INIT-000000003,NQ-TOP-001-XS-GRY,576,18720
PO-INIT-000000004,NQ-TOP-001-XS-NVY,576,18720
PO-INIT-000000005,NQ-TOP-001-XS-ORC,576,18720
PO-INIT-000000006,NQ-TOP-001-XS-SKB,576,18720
PO-INIT-000000007,NQ-TOP-001-XS-LYL,576,18720
PO-INIT-000000008,NQ-TOP-001-S-BLK,576,18720
PO-INIT-000000009,NQ-TOP-001-S-WHT,576,18720
PO-INIT-000000010,NQ-TOP-001-S-GRY,576,18720
PO-INIT-000000011,NQ-TOP-001-S-NVY,576,18720
PO-INIT-000000012,NQ-TOP-001-S-ORC,576,18720
PO-INIT-000000013,NQ-TOP-001-S-SKB,576,18720
PO-INIT-000000014,NQ-TOP-001-S-LYL,576,18720
PO-INIT-000000015,NQ-TOP-001-M-BLK,576,18720
PO-INIT-000000016,NQ-TOP-001-M-WHT,576,18720
PO-INIT-000000017,NQ-TOP-001-M-GRY,576,18720
PO-INIT-000000018,NQ-TOP-001-M-NVY,576,18720
PO-INIT-000000019,NQ-TOP-001-M-ORC,576,18720
PO-INIT-000000020,NQ-TOP-001-M-SKB,576,18720
PO-INIT-000000021,NQ-TOP-001-M-LYL,576,18720
PO-INIT-000000022,NQ-TOP-001-L-BLK,576,18720
PO-INIT-000000023,NQ-TOP-001-L-WHT,576,18720
PO-INIT-000000024,NQ-TOP-001-L-GRY,576,18720
PO-INIT-000000025,NQ-TOP-001-L-NVY,576,18720
PO-INIT-000000026,NQ-TOP-001-L-ORC,576,18720
PO-INIT-000000027,NQ-TOP-001-L-SKB,576,18720
PO-INIT-000000028,NQ-TOP-001-L-LYL,576,18720
PO-INIT-000000029,NQ-TOP-001-XL-BLK,576,18720
PO-INIT-000000030,NQ-TOP-001-XL-WHT,576,18720
PO-INIT-000000031,NQ-TOP-001-XL-GRY,576,18720
PO-INIT-000000032,NQ-TOP-001-XL-NVY,576,18720
PO-INIT-000000033,NQ-TOP-001-XL-ORC,576,18720
PO-INIT-000000034,NQ-TOP-001-XL-SKB,576,18720
PO-INIT-000000035,NQ-TOP-001-XL-LYL,576,18720
PO-INIT-000000036,NQ-TOP-001-2XL-BLK,576,18720
PO-INIT-000000037,NQ-TOP-001-2XL-WHT,576,18720
PO-INIT-000000038,NQ-TOP-001-2XL-GRY,576,18720
PO-INIT-000000039,NQ-TOP-001-2XL-NVY,576,18720
PO-INIT-000000040,NQ-TOP-001-2XL-ORC,576,18720
PO-INIT-000000041,NQ-TOP-001-2XL-SKB,576,18720
PO-INIT-000000042,NQ-TOP-001-2XL-LYL,576,18720
PO-INIT-000000043,NQ-TOP-001-3XL-BLK,576,18720
PO-INIT-000000044,NQ-TOP-001-3XL-WHT,576,18720
PO-INIT-000000045,NQ-TOP-001-3XL-GRY,576,18720
PO-INIT-000000046,NQ-TOP-001-3XL-NVY,576,18720
PO-INIT-000000047,NQ-TOP-001-3XL-ORC,576,18720
PO-INIT-000000048,NQ-TOP-001-3XL-SKB,576,18720
PO-INIT-000000049,NQ-TOP-001-3XL-LYL,576,18720
PO-INIT-000000050,NQ-TOP-001-4XL-BLK,576,18720
PO-INIT-000000051,NQ-TOP-001-4XL-WHT,576,18720
PO-INIT-000000052,NQ-TOP-001-4XL-GRY,576,18720
PO-INIT-000000053,NQ-TOP-001-4XL-NVY,576,18720
PO-INIT-000000054,NQ-TOP-001-4XL-ORC,576,18720
PO-INIT-000000055,NQ-TOP-001-4XL-SKB,576,18720
PO-INIT-000000056,NQ-TOP-001-4XL-LYL,576,18720
PO-INIT-000000057,NQ-TOP-002-XS-BLK,192,18720
PO-INIT-000000058,NQ-TOP-002-XS-WHT,192,18720
PO-INIT-000000059,NQ-TOP-002-XS-GRY,192,18720
PO-INIT-000000060,NQ-TOP-002-XS-NVY,192,18720
PO-INIT-000000061,NQ-TOP-002-S-BLK,192,18720
PO-INIT-000000062,NQ-TOP-002-S-WHT,192,18720
PO-INIT-000000063,NQ-TOP-002-S-GRY,192,18720
PO-INIT-000000064,NQ-TOP-002-S-NVY,192,18720
PO-INIT-000000065,NQ-TOP-002-M-BLK,192,18720
PO-INIT-000000066,NQ-TOP-002-M-WHT,192,18720
PO-INIT-000000067,NQ-TOP-002-M-GRY,192,18720
PO-INIT-000000068,NQ-TOP-002-M-NVY,192,18720
