po_id,factory_id,order_date,expected_arrival_date,status
PO-INIT-000000001,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000002,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000003,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000004,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000005,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000006,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000007,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000008,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000009,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000010,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000011,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000012,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000013,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000014,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000015,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000016,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000017,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000018,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000019,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000020,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000021,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000022,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000023,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000024,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000025,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000026,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000027,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000028,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000029,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000030,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000031,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000032,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000033,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000034,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000035,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000036,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000037,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000038,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000039,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000040,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000041,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000042,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000043,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000044,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000045,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000046,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000047,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000048,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000049,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000050,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000051,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000052,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000053,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000054,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000055,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000056,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000057,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000058,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000059,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000060,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000061,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000062,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000063,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000064,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000065,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000066,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000067,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000068,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000069,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000070,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000071,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000072,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000073,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000074,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000075,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000076,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000077,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000078,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000079,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000080,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000081,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000082,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000083,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000084,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000085,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000086,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000087,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000088,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000089,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000090,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000091,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000092,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000093,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000094,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000095,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000096,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000097,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000098,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000099,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000100,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000101,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000102,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000103,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000104,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000105,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000106,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000107,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000108,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000109,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000110,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000111,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000112,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000113,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000114,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000115,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000116,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000117,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000118,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000119,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000120,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000121,FAC-001,2024-01-09,2024-03-01,입고완료
PO-INIT-000000122,FAC-001,2024-01-09,2024-03-01,입고완료
