return_id,order_id,sku_code,reason_code,status,request_date,resolution
RET-000153601,ORD-000673327,NQ-PNT-001-M-BEG,R01,완료,2026-02-13,환불
RET-000196608,ORD-000863977,NQ-DRS-002-M-IVR,R04,완료,2026-05-05,교환
RET-000197045,ORD-000865787,NQ-PNT-001-M-BLK,R05,완료,2026-05-06,환불
RET-000250869,ORD-001107855,NQ-OUT-001-L-NVY,R03,완료,2026-08-03,교환
RET-000238758,ORD-001052268,NQ-OUT-001-S-NVY,R01,완료,2026-07-03,환불
RET-000108446,ORD-000476476,NQ-OUT-001-M-NVY,R03,완료,2025-11-22,환불
RET-000041211,ORD-000184707,TRD-OUT-01-NAT-003-L-GRY,R01,완료,2025-03-31,교환
RET-000008735,ORD-000040913,NQ-PNT-001-XS-GRY,R03,완료,2024-07-11,교환
RET-000201598,ORD-000884660,NQ-PNT-001-L-GRY,R01,완료,2026-05-03,교환
RET-000242418,ORD-001069436,NQ-OUT-002-S-BLK,R03,완료,2026-07-26,교환
RET-000268635,ORD-001210751,NQ-PNT-001-2XL-BEG,R03,완료,2026-08-14,교환
RET-000193338,ORD-000850077,NQ-TOP-003-XL-BLK,R02,완료,2026-04-23,환불
RET-000084649,ORD-000375476,NQ-OUT-001-L-BEG,R01,완료,2025-09-05,환불
RET-000216265,ORD-000952820,NQ-TOP-001-M-LYL,R03,완료,2026-06-03,환불
RET-000082319,ORD-000365979,NQ-CLR-COOL-002-L-CRM,R01,완료,2025-08-17,교환
RET-000077409,ORD-000343581,NQ-CLR-MUT-003-M-CRM,R01,완료,2025-08-24,환불
RET-000222792,ORD-000982494,NQ-PNT-001-L-NVY,R02,완료,2026-06-16,환불
RET-000109238,ORD-000479868,NQ-TOP-002-S-WHT,R01,완료,2025-11-15,환불
RET-000038269,ORD-000172308,NQ-TOP-001-L-BLK,R01,완료,2025-03-26,환불
RET-000066830,ORD-000296864,NQ-TOP-001-2XL-LYL,R03,완료,2025-07-19,환불
RET-000013711,ORD-000063490,NQ-CLR-WRM-001-S-IVR,R04,완료,2024-08-28,교환
RET-000251613,ORD-001111236,NQ-PNT-001-XL-NVY,R03,완료,2026-08-05,환불
RET-000256166,ORD-001131674,NQ-DRS-001-M-IVR,R01,완료,2026-08-10,환불
RET-000249471,ORD-001101769,NQ-OUT-001-S-BLK,R01,완료,2026-07-29,교환
RET-000169293,ORD-000739652,TRD-ACC-01-CHM-001-FREE-SLV,R01,완료,2026-03-19,교환
RET-000240202,ORD-001059091,NQ-OUT-001-S-BEG,R01,완료,2026-07-15,교환
RET-000119174,ORD-000524848,NQ-TOP-003-L-NVY,R03,완료,2025-12-19,환불
RET-000000042,ORD-000000182,NQ-PNT-001-XL-NVY,R01,완료,2024-03-23,환불
RET-000136286,ORD-000594732,NQ-PNT-003-L-GRY,R05,완료,2026-01-07,환불
RET-000152786,ORD-000670144,NQ-TOP-002-3XL-GRY,R01,완료,2026-02-13,환불
RET-000004410,ORD-000020452,NQ-TOP-001-M-LYL,R01,완료,2024-05-02,환불
RET-000087490,ORD-000386771,NQ-TOP-004-2XL-NVY,R04,완료,2025-09-10,환불
RET-000241353,ORD-001064487,NQ-TOP-001-2XL-GRY,R03,완료,2026-07-26,환불
RET-000124049,ORD-000546331,NQ-TOP-001-L-WHT,R05,완료,2025-12-18,교환
RET-000120534,ORD-000531078,NQ-TOP-001-XS-NVY,R03,완료,2025-12-06,환불
RET-000058790,ORD-000260462,NQ-PNT-002-XL-BEG,R01,완료,2025-05-31,환불
RET-000131803,ORD-000576864,NQ-OUT-001-S-BEG,R02,완료,2026-01-06,환불
RET-000174161,ORD-000762241,NQ-OUT-001-L-BLK,R03,완료,2026-03-22,교환
RET-000121401,ORD-000534763,NQ-CLR-MUT-003-L-IVR,R03,완료,2025-12-15,교환
RET-000044914,ORD-000200794,NQ-TOP-001-M-NVY,R01,완료,2025-04-07,교환
RET-000020038,ORD-000092345,NQ-PNT-002-S-BLK,R04,완료,2024-11-13,교환
RET-000135064,ORD-000589933,NQ-PNT-001-XL-GRY,R01,완료,2026-01-10,교환
RET-000024254,ORD-000111802,NQ-PNT-003-L-BLK,R02,완료,2024-12-07,교환
RET-000256359,ORD-001132551,NQ-PNT-003-L-GRY,R01,완료,2026-08-07,교환
RET-000055121,ORD-000244479,NQ-OUT-001-S-BEG,R01,완료,2025-05-08,교환
