order_id,customer_id,channel_id,store_id,order_date,status,total_amount
ORD-000023946,CUST-000016776,ZIGZAG,,2024-05-03T11:09:00,구매확정,35000
ORD-000433639,CUST-000303362,ZIGZAG,,2025-09-28T16:35:00,구매확정,128000
ORD-000839957,CUST-000587847,ZIGZAG,,2026-04-02T18:50:00,구매확정,78000
ORD-000697995,CUST-000488459,ZIGZAG,,2026-02-18T15:19:00,구매확정,98000
ORD-000671102,CUST-000278747,ZIGZAG,,2026-01-29T13:55:00,구매확정,78000
ORD-000034185,CUST-000023948,ZIGZAG,,2024-06-08T12:12:00,구매확정,35000
ORD-000892079,CUST-000624306,ZIGZAG,,2026-04-23T18:19:00,구매확정,39000
ORD-000979748,CUST-000291710,ZIGZAG,,2026-05-29T21:04:00,구매확정,128000
ORD-000185619,CUST-000078843,ZIGZAG,,2025-03-11T09:55:00,구매확정,49000
ORD-000155051,CUST-000066525,ZIGZAG,,2025-02-16T22:26:00,구매확정,49000
ORD-001049595,CUST-000070203,ZIGZAG,,2026-06-27T16:19:00,구매확정,39000
ORD-000883955,CUST-000618700,OFFLINE,STORE-02,2026-04-19T11:33:00,구매확정,49000
ORD-000046824,CUST-000019353,ZIGZAG,,2024-07-20T21:52:00,구매확정,49000
ORD-000961630,CUST-000672841,ZIGZAG,,2026-05-22T10:49:00,구매확정,74000
ORD-000048006,CUST-000022556,ZIGZAG,,2024-07-23T10:18:00,구매확정,35000
ORD-000738503,CUST-000516983,ZIGZAG,,2026-03-05T18:59:00,구매확정,39000
ORD-000820832,CUST-000574488,ZIGZAG,,2026-03-24T15:38:00,구매확정,74000
ORD-001083431,CUST-000022161,ZIGZAG,,2026-07-11T11:16:00,배송완료,68000
ORD-000833461,CUST-000583300,ZIGZAG,,2026-03-29T14:03:00,구매확정,39000
ORD-000043525,CUST-000030438,ZIGZAG,,2024-07-08T09:45:00,구매확정,49000
ORD-000157018,CUST-000109984,ZIGZAG,,2025-02-21T08:46:00,구매확정,84000
ORD-000373694,CUST-000261474,ZIGZAG,,2025-08-10T14:57:00,구매확정,39000
ORD-001178698,CUST-000825279,OFFLINE,STORE-02,2026-08-03T09:34:00,배송완료,177000
ORD-000848722,CUST-000593966,ZIGZAG,,2026-04-05T19:16:00,구매확정,89000
ORD-000845815,CUST-000449226,ZIGZAG,,2026-04-04T20:48:00,구매확정,59000
ORD-000516975,CUST-000361714,ZIGZAG,,2025-11-23T15:09:00,구매확정,89000
ORD-000533454,CUST-000373260,ZIGZAG,,2025-11-27T14:04:00,구매확정,35000
ORD-001105983,CUST-000495562,ZIGZAG,,2026-07-20T13:48:00,배송완료,88000
ORD-000329342,CUST-000230503,ZIGZAG,,2025-07-25T19:27:00,구매확정,39000
ORD-000907729,CUST-000635232,ZIGZAG,,2026-04-29T13:00:00,구매확정,19000
ORD-001170572,CUST-000819594,ZIGZAG,,2026-08-02T13:31:00,배송완료,59000
ORD-000384953,CUST-000269342,ZIGZAG,,2025-08-21T20:27:00,구매확정,39000
ORD-000023955,CUST-000013454,ZIGZAG,,2024-05-03T12:56:00,구매확정,49000
ORD-000316795,CUST-000221732,OFFLINE,STORE-02,2025-07-13T13:30:00,구매확정,213000
ORD-000104697,CUST-000073317,ZIGZAG,,2024-11-24T21:12:00,구매확정,127000
ORD-000448665,CUST-000313865,ZIGZAG,,2025-10-10T15:21:00,구매확정,88000
ORD-000761861,CUST-000107127,ZIGZAG,,2026-03-08T15:47:00,구매확정,35000
ORD-001122250,CUST-000785651,ZIGZAG,,2026-07-25T14:11:00,배송완료,39000
ORD-001082737,CUST-000575456,ZIGZAG,,2026-07-11T21:43:00,배송완료,58000
ORD-001007280,CUST-000704902,ZIGZAG,,2026-06-09T15:46:00,구매확정,39000
ORD-000012168,CUST-000000694,ZIGZAG,,2024-03-23T19:49:00,구매확정,39000
ORD-000422208,CUST-000295388,ZIGZAG,,2025-09-20T16:45:00,구매확정,138000
ORD-000624874,CUST-000348288,ZIGZAG,,2026-01-05T14:33:00,구매확정,39000
ORD-000020287,CUST-000009616,ZIGZAG,,2024-04-20T20:50:00,구매확정,35000
ORD-001080667,CUST-000756414,ZIGZAG,,2026-07-10T19:43:00,배송완료,39000
ORD-001100441,CUST-000770277,ZIGZAG,,2026-07-18T08:31:00,배송완료,39000
ORD-000245234,CUST-000171618,ZIGZAG,,2025-05-04T20:13:00,구매확정,39000
ORD-000136020,CUST-000095289,ZIGZAG,,2025-01-07T22:19:00,구매확정,35000
ORD-000270012,CUST-000138207,ZIGZAG,,2025-05-29T11:41:00,구매확정,39000
ORD-000812462,CUST-000542324,ZIGZAG,,2026-03-21T20:08:00,구매확정,109000
ORD-000414395,CUST-000217282,ZIGZAG,,2025-09-14T16:00:00,구매확정,78000
ORD-000530824,CUST-000274276,ZIGZAG,,2025-11-26T21:41:00,구매확정,49000
ORD-000210435,CUST-000147299,ZIGZAG,,2025-03-30T09:07:00,구매확정,35000
ORD-000950324,CUST-000664908,ZIGZAG,,2026-05-17T14:14:00,구매확정,88000
ORD-001173567,CUST-000639814,ZIGZAG,,2026-08-02T23:02:00,배송완료,88000
ORD-000923310,CUST-000646103,ZIGZAG,,2026-05-06T17:54:00,구매확정,35000
ORD-000124151,CUST-000087000,ZIGZAG,,2024-12-23T12:53:00,구매확정,39000
ORD-000745872,CUST-000522127,ZIGZAG,,2026-03-06T19:15:00,구매확정,39000
ORD-000556661,CUST-000389580,OFFLINE,STORE-02,2025-12-07T16:33:00,구매확정,39000
ORD-000598043,CUST-000418454,ZIGZAG,,2025-12-26T20:46:00,구매확정,39000
ORD-000327803,CUST-000229415,ZIGZAG,,2025-07-23T12:13:00,구매확정,35000
ORD-001139225,CUST-000797577,ZIGZAG,,2026-07-28T08:34:00,배송완료,127000
ORD-000078187,CUST-000054667,ZIGZAG,,2024-09-28T13:26:00,구매확정,98000
ORD-000701076,CUST-000490616,ZIGZAG,,2026-02-21T19:34:00,구매확정,128000
ORD-001094095,CUST-000765895,ZIGZAG,,2026-07-15T18:45:00,배송완료,173000
ORD-000252674,CUST-000058527,ZIGZAG,,2025-05-11T16:43:00,구매확정,124000
ORD-000908617,CUST-000635858,ZIGZAG,,2026-04-30T15:50:00,구매확정,35000
ORD-000478681,CUST-000334809,ZIGZAG,,2025-11-01T14:05:00,구매확정,39000
ORD-000460452,CUST-000055559,ZIGZAG,,2025-10-19T20:08:00,구매확정,89000
ORD-000735046,CUST-000514494,ZIGZAG,,2026-03-04T19:08:00,구매확정,35000
ORD-000510699,CUST-000357312,ZIGZAG,,2025-11-22T17:30:00,구매확정,74000
ORD-000497902,CUST-000156060,ZIGZAG,,2025-11-16T13:19:00,구매확정,35000
ORD-000315473,CUST-000198355,OFFLINE,STORE-02,2025-07-12T10:03:00,구매확정,78000
ORD-001053315,CUST-000149280,ZIGZAG,,2026-06-28T12:03:00,구매확정,35000
ORD-000213337,CUST-000149335,ZIGZAG,,2025-04-02T21:27:00,구매확정,35000
ORD-000040127,CUST-000024109,ZIGZAG,,2024-06-27T11:05:00,구매확정,123000
ORD-001050625,CUST-000220270,ZIGZAG,,2026-06-27T14:45:00,구매확정,119000
ORD-000041522,CUST-000029061,ZIGZAG,,2024-07-01T11:22:00,구매확정,98000
ORD-000544142,CUST-000380746,ZIGZAG,,2025-11-30T20:22:00,구매확정,98000
ORD-000380424,CUST-000266161,ZIGZAG,,2025-08-17T18:39:00,구매확정,49000
ORD-000714934,CUST-000500389,ZIGZAG,,2026-03-01T14:33:00,구매확정,127000
ORD-001077368,CUST-000359627,ZIGZAG,,2026-07-08T14:05:00,배송완료,49000
ORD-000618493,CUST-000432740,ZIGZAG,,2026-01-03T19:37:00,구매확정,39000
ORD-001038279,CUST-000581911,ZIGZAG,,2026-06-22T10:35:00,구매확정,39000
ORD-000597268,CUST-000417913,ZIGZAG,,2025-12-26T21:11:00,구매확정,49000
ORD-000953072,CUST-000666868,ZIGZAG,,2026-05-18T08:27:00,구매확정,78000
ORD-000414339,CUST-000289897,ZIGZAG,,2025-09-14T22:18:00,구매확정,128000
ORD-000540127,CUST-000129816,ZIGZAG,,2025-11-29T14:35:00,구매확정,117000
ORD-000629759,CUST-000440586,ZIGZAG,,2026-01-07T19:19:00,구매확정,35000
ORD-000768130,CUST-000516778,ZIGZAG,,2026-03-10T13:37:00,구매확정,124000
ORD-000284258,CUST-000185171,ZIGZAG,,2025-06-12T16:44:00,구매확정,39000
ORD-000239850,CUST-000013167,ZIGZAG,,2025-04-29T12:10:00,구매확정,39000
ORD-001044154,CUST-000000697,ZIGZAG,,2026-06-25T11:59:00,구매확정,39000
ORD-000255613,CUST-000178866,ZIGZAG,,2025-05-15T16:30:00,구매확정,35000
ORD-000565782,CUST-000395929,ZIGZAG,,2025-12-13T10:23:00,구매확정,89000
ORD-000840914,CUST-000485178,ZIGZAG,,2026-04-02T19:54:00,구매확정,127000
ORD-000369945,CUST-000152321,ZIGZAG,,2025-08-09T11:45:00,구매확정,78000
ORD-000929964,CUST-000650722,ZIGZAG,,2026-05-09T10:51:00,구매확정,39000
ORD-000075075,CUST-000052534,ZIGZAG,,2024-09-21T08:02:00,구매확정,147000
ORD-000187636,CUST-000131412,ZIGZAG,,2025-03-11T10:07:00,구매확정,39000
ORD-000703382,CUST-000492243,ZIGZAG,,2026-02-22T23:12:00,구매확정,117000
ORD-000213645,CUST-000067562,ZIGZAG,,2025-04-02T11:24:00,구매확정,84000
ORD-000522947,CUST-000365900,ZIGZAG,,2025-11-24T22:12:00,구매확정,35000
ORD-001039048,CUST-000727169,ZIGZAG,,2026-06-22T17:14:00,구매확정,39000
ORD-000956734,CUST-000329545,ZIGZAG,,2026-05-19T08:48:00,구매확정,128000
ORD-000197562,CUST-000005830,ZIGZAG,,2025-03-17T08:44:00,구매확정,84000
ORD-000783973,CUST-000548778,OFFLINE,STORE-02,2026-03-13T08:45:00,구매확정,124000
ORD-001088519,CUST-000761984,ZIGZAG,,2026-07-13T12:59:00,배송완료,119000
