return_id,order_id,sku_code,reason_code,status,request_date,resolution
RET-000072009,ORD-000318967,NQ-CLR-WRM-001-S-ASH,R01,완료,2025-08-05,교환
RET-000101007,ORD-000445224,NQ-PNT-003-M-BEG,R01,완료,2025-11-01,교환
RET-000098670,ORD-000435130,NQ-PNT-001-2XL-BLK,R03,완료,2025-10-15,환불
RET-000178282,ORD-000781684,NQ-PNT-001-2XL-BEG,R01,완료,2026-04-05,교환
RET-000115663,ORD-000508396,NQ-TOP-001-L-SKB,R03,완료,2025-12-07,교환
RET-000190637,ORD-000838355,NQ-OUT-001-S-BLK,R01,완료,2026-04-10,환불
RET-000139241,ORD-000607236,NQ-TOP-001-S-NVY,R02,완료,2026-01-16,교환
RET-000071878,ORD-000318343,NQ-PNT-001-L-NVY,R01,완료,2025-08-06,환불
RET-000236078,ORD-001040485,NQ-PNT-002-XL-GRY,R04,완료,2026-07-10,환불
RET-000228583,ORD-001008310,NQ-TOP-001-S-WHT,R01,완료,2026-07-04,교환
RET-000160639,ORD-000700355,NQ-TOP-001-2XL-LYL,R01,완료,2026-03-13,교환
RET-000126278,ORD-000555499,NQ-PNT-001-XL-KHK,R01,완료,2025-12-13,환불
RET-000036379,ORD-000164779,NQ-OUT-001-S-GRY,R01,완료,2025-03-15,환불
RET-000145193,ORD-000635168,NQ-CLR-MUT-003-S-ASH,R05,완료,2026-01-30,환불
RET-000099435,ORD-000438534,NQ-OUT-001-L-BLK,R01,완료,2025-10-17,교환
RET-000054243,ORD-000240750,NQ-CLR-COOL-002-M-IVR,R03,완료,2025-05-22,환불
RET-000047104,ORD-000210012,NQ-PNT-001-L-KHK,R02,완료,2025-04-13,교환
RET-000045767,ORD-000204362,NQ-CLR-WRM-004-L-ASH,R01,완료,2025-04-05,교환
RET-000077592,ORD-000344369,NQ-PNT-001-S-BLK,R01,완료,2025-08-09,환불
RET-000171841,ORD-000751336,TRD-OUT-03-NAT-003-S-BLK,R01,완료,2026-03-14,환불
RET-000197403,ORD-000867246,NQ-PNT-001-S-GRY,R01,완료,2026-04-19,교환
RET-000052332,ORD-000232309,NQ-TOP-001-L-SKB,R01,완료,2025-04-28,환불
RET-000182241,ORD-000800219,NQ-PNT-001-M-BEG,R01,완료,2026-04-01,교환
RET-000071572,ORD-000316797,NQ-CLR-WRM-001-L-ASH,R01,완료,2025-07-22,환불
RET-000219608,ORD-000968095,NQ-OUT-001-L-BLK,R01,완료,2026-06-14,환불
RET-000164136,ORD-000715783,NQ-TOP-001-S-WHT,R01,완료,2026-03-09,환불
RET-000142536,ORD-000621644,NQ-TOP-001-XL-NVY,R03,완료,2026-01-19,환불
RET-000137680,ORD-000600380,NQ-TOP-003-2XL-WHT,R01,완료,2026-01-03,교환
RET-000241531,ORD-001065506,NQ-TOP-002-S-BLK,R01,완료,2026-07-13,교환
RET-000054132,ORD-000240280,NQ-TOP-001-S-BLK,R02,완료,2025-05-12,교환
RET-000063285,ORD-000281150,NQ-TOP-001-S-GRY,R01,완료,2025-07-01,교환
RET-000127457,ORD-000560272,NQ-TOP-004-L-GRY,R03,완료,2026-01-02,교환
RET-000211678,ORD-000931894,NQ-TOP-003-XS-GRY,R03,완료,2026-06-03,교환
RET-000062556,ORD-000277689,NQ-PNT-002-M-GRY,R01,완료,2025-06-24,환불
RET-000215786,ORD-000950552,NQ-CLR-COOL-002-S-IVR,R01,완료,2026-06-08,교환
RET-000167032,ORD-000729248,NQ-OUT-002-L-BLK,R04,완료,2026-03-28,교환
RET-000039969,ORD-000179339,NQ-OUT-002-M-BEG,R02,완료,2025-03-13,환불
RET-000023782,ORD-000109654,NQ-TOP-001-L-GRY,R01,완료,2024-12-17,환불
RET-000121844,ORD-000536735,NQ-PNT-001-XL-BLK,R01,완료,2025-12-13,환불
RET-000080871,ORD-000359351,NQ-PNT-001-XL-BEG,R03,완료,2025-08-18,교환
RET-000018760,ORD-000086668,NQ-TOP-001-M-LYL,R02,완료,2024-10-30,교환
RET-000147335,ORD-000646642,NQ-CLR-COOL-002-M-CRM,R03,완료,2026-01-20,환불
RET-000187091,ORD-000823050,NQ-TOP-001-L-WHT,R01,완료,2026-04-03,교환
RET-000201075,ORD-000882538,NQ-TOP-001-L-BLK,R01,완료,2026-04-26,교환
RET-000202577,ORD-000889026,NQ-ACC-CAP-004-FREE-BRN,R03,완료,2026-05-08,교환
RET-000097099,ORD-000428151,TRD-OUT-02-STR-001-M-BRN,R02,완료,2025-10-15,환불
RET-000072331,ORD-000320483,NQ-CLR-MUT-003-M-CRM,R01,완료,2025-07-25,환불
RET-000045863,ORD-000204739,NQ-OUT-001-S-BEG,R01,완료,2025-04-12,교환
RET-000169487,ORD-000740488,NQ-TOP-003-M-BLK,R01,완료,2026-03-25,교환
RET-000115303,ORD-000506796,NQ-PNT-001-XL-GRY,R01,완료,2025-11-30,환불
RET-000132347,ORD-000579033,NQ-TOP-001-XL-NVY,R03,완료,2025-12-24,환불
RET-000102777,ORD-000452769,NQ-OUT-001-S-NVY,R01,완료,2025-10-22,교환
RET-000223681,ORD-000986569,NQ-OUT-001-L-BLK,R02,완료,2026-06-17,환불
RET-000060534,ORD-000268512,NQ-CLR-COOL-002-S-IVR,R02,완료,2025-06-19,교환
RET-000048839,ORD-000217324,NQ-CLR-WRM-001-L-IVR,R02,완료,2025-04-27,교환
RET-000115682,ORD-000508511,NQ-TOP-001-XL-SKB,R04,완료,2025-11-27,교환
RET-000138588,ORD-000604461,NQ-PNT-001-S-BLK,R01,완료,2026-01-04,환불
RET-000052710,ORD-000234169,NQ-OUT-002-S-GRY,R03,완료,2025-05-12,교환
RET-000131043,ORD-000573732,NQ-TOP-001-L-ORC,R03,완료,2026-01-10,교환
RET-000029959,ORD-000136243,NQ-TOP-001-2XL-SKB,R01,완료,2025-01-28,환불
