style_name,status,launch_date,sold_units,revenue
톤온톤 니트 셋업,단종,2024-09-01,672,30240000
톤온톤 니트 셋업,단종,2024-09-01,672,30240000
톤온톤 니트 셋업,단종,2024-09-01,672,30240000
액티브 반집업 아우터,단종,2025-03-01,1488,117552000
액티브 반집업 아우터,단종,2025-03-01,1488,117552000
액티브 반집업 아우터,단종,2025-03-01,1488,117552000
뉴트럴 플리스 아우터(그래놀라코어),단종,2025-09-01,2727,215433000
뉴트럴 플리스 아우터(그래놀라코어),단종,2025-09-01,2727,215433000
뉴트럴 플리스 아우터(그래놀라코어),단종,2025-09-01,2727,215433000
원숄더 니트탑,단종,2025-09-01,1818,76356000
원숄더 니트탑,단종,2025-09-01,1818,76356000
원숄더 니트탑,단종,2025-09-01,1818,76356000
참키링 액세서리,판매중,2026-03-01,1476,22140000
쿼터집 후드,판매중,2026-03-01,2952,203688000
쿼터집 후드,판매중,2026-03-01,2952,203688000
쿼터집 후드,판매중,2026-03-01,2952,203688000
